Sym,Name,Last,Change,Percent,High,Low,Volume,Vol2,vol3,Time,Links
COL,Rockwell Collins,79.21,+0.66,+0.84%,79.35,78.20,406,500,07/11/14,   
COP,Conocophillips,84.73,-0.94,-1.10%,85.61,84.44,4,876,000,07/11/14,   
COST,Costco Wholesale Corp,118.01,-0.07,-0.06%,118.25,117.09,1,684,800,07/11/14,   
COV,Covidien Plc.,91.37,+0.37,+0.41%,91.49,90.73,5,239,400,07/11/14,   
CPB,Campbell Soup Company,45.29,+0.02,+0.04%,45.48,45.15,692,000,07/11/14,   
CRM,Salesforce.Com Inc,54.21,-0.09,-0.17%,54.79,53.75,2,522,100,07/11/14,   
CSC,Computer Sciences Corp,62.72,+0.01,+0.02%,63.10,62.52,673,300,07/11/14,   
CSCO,Cisco Systems,25.52,+0.08,+0.31%,25.65,25.44,20,945,900,07/11/14,   
CSX,CSX Corp,31.00,+0.16,+0.52%,31.04,30.75,5,587,100,07/11/14,   
CTAS,Cintas Corp,62.56,-0.59,-0.93%,63.13,62.48,495,200,07/11/14,   
CTL,Centurylink,36.77,-0.01,-0.03%,36.89,36.61,1,672,700,07/11/14,   
CTSH,Cognizant Technology Solutions,49.70,-0.31,-0.62%,50.50,49.60,3,536,700,07/11/14,   
CTXS,Citrix Systems,62.82,+0.07,+0.11%,63.37,62.52,1,716,700,07/11/14,   
CVC,Cablevision Systems Corp,18.12,unch,unch,18.20,17.98,1,629,900,07/11/14,   
CVS,CVS Corp,76.90,+0.29,+0.38%,77.03,76.30,2,269,000,07/11/14,   
CVX,Chevron Corp,128.47,-1.78,-1.37%,129.89,128.03,5,248,000,07/11/14,   
D,Dominion Resources,69.50,-0.48,-0.69%,69.98,69.42,1,257,700,07/11/14,   
DAL,Delta Air Lines Inc,37.23,-0.22,-0.59%,37.88,37.07,11,701,000,07/11/14,   
DD,E.I. Du Pont De Nemours and Company,64.89,-0.05,-0.08%,65.20,64.69,2,866,300,07/11/14,   
DE,Deere & Company,88.53,+0.41,+0.47%,88.62,87.17,3,823,900,07/11/14,   
DFS,Discover Financial Services,62.56,-0.10,-0.16%,62.73,62.06,1,790,500,07/11/14,   
DG,Dollar General Corp,56.79,-0.57,-0.99%,57.44,56.71,3,351,500,07/11/14,   
DGX,Quest Diagnostics Inc,59.40,+0.36,+0.61%,59.46,58.56,696,100,07/11/14,   
DHI,D.R. Horton,24.11,-0.31,-1.27%,24.34,23.95,4,343,600,07/11/14,   
DHR,Danaher Corp,78.38,+0.38,+0.49%,78.40,77.76,1,855,900,07/11/14,   
DIS,Walt Disney Company,86.89,+0.03,+0.03%,87.36,86.37,5,016,300,07/11/14,   
DISCA,Discovery Communications Inc,78.59,+0.65,+0.83%,78.78,77.11,1,033,200,07/11/14,   
DLPH,Delphi Automotive Plc,69.56,+0.09,+0.13%,69.91,69.34,1,109,500,07/11/14,   
DLTR,Dollar Tree,55.25,-0.23,-0.41%,55.51,54.67,1,343,600,07/11/14,   
DNB,Dun & Bradstreet Corp,110.12,-0.03,-0.03%,110.92,109.89,362,100,07/11/14,   
DNR,Denbury Resources,17.51,-0.26,-1.46%,17.77,17.44,3,412,600,07/11/14,   
DO,Diamond Offshore Drilling,47.75,+0.11,+0.23%,48.10,47.50,1,151,500,07/11/14,   
